Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
22-NOV-2019,9715.05,9715.5,9650.2,9679.3,1764517945.0,33575.25
25-NOV-2019,9688.85,9809.1,9687.05,9802.05,1905490102.0,34881.7
26-NOV-2019,9833.6,9852.9,9739.2,9762.85,3702934723.0,81541.59
27-NOV-2019,9787.3,9824.5,9778.15,9815.95,1674524486.0,34009.21
28-NOV-2019,9838.45,9874.9,9816.75,9869.75,2287411104.0,41055.56
29-NOV-2019,9871.1,9872.1,9781.05,9813.65,2409348532.0,42259.2
02-DEC-2019,9863.1,9863.15,9778.6,9798.0,2971108662.0,38347.5
03-DEC-2019,9814.75,9815.95,9715.5,9743.15,2125136647.0,32769.49
04-DEC-2019,9722.25,9790.1,9699.6,9782.1,2277504297.0,36193.08
05-DEC-2019,9801.1,9805.6,9741.95,9757.6,1629874071.0,32964.05
06-DEC-2019,9781.9,9787.25,9642.15,9669.4,2004142609.0,32071.07
09-DEC-2019,9682.0,9714.3,9636.75,9671.45,1647514285.0,29128.28
10-DEC-2019,9680.55,9682.65,9585.0,9595.4,1688748460.0,29126.91
11-DEC-2019,9605.6,9645.95,9574.85,9636.25,1909172428.0,31019.73
12-DEC-2019,9666.5,9714.95,9657.35,9691.15,1509130444.0,30357.48
13-DEC-2019,9732.35,9791.05,9731.15,9783.6,1718730748.0,35293.21
16-DEC-2019,9815.25,9817.65,9747.95,9753.0,1240487459.0,27566.74
17-DEC-2019,9776.45,9842.9,9766.55,9831.35,1516669810.0,34075.03
18-DEC-2019,9854.75,9876.4,9821.2,9864.55,1518631027.0,35229.35
19-DEC-2019,9866.15,9898.55,9845.55,9892.3,1471144087.0,31594.29
20-DEC-2019,9899.5,9920.65,9891.65,9905.35,1813934650.0,40671.03
23-DEC-2019,9882.95,9922.05,9861.4,9897.65,1346949483.0,28959.82
24-DEC-2019,9905.35,9915.25,9860.35,9868.4,1131663138.0,23580.28
26-DEC-2019,9871.45,9877.15,9811.35,9817.2,1372868389.0,27162.95
27-DEC-2019,9852.15,9916.25,9842.95,9908.7,1179841560.0,25729.59
30-DEC-2019,9931.6,9946.05,9891.05,9924.7,1147455123.0,24664.24
31-DEC-2019,9921.5,9921.7,9861.5,9872.55,1186430392.0,25910.13
01-JAN-2020,9897.95,9914.4,9875.1,9888.55,867072979.0,19186.24
02-JAN-2020,9903.25,9984.4,9901.4,9980.0,1380833508.0,29043.57
03-JAN-2020,9966.8,9976.75,9913.6,9941.65,1377925029.0,29852.53
06-JAN-2020,9896.45,9901.6,9731.85,9747.4,1330570851.0,29148.74
07-JAN-2020,9814.45,9883.45,9765.5,9805.4,1270621001.0,31001.36
08-JAN-2020,9708.7,9798.25,9700.35,9792.2,1544773904.0,30721.06
09-JAN-2020,9894.05,9951.2,9882.15,9943.9,1668330558.0,33577.71
10-JAN-2020,9985.0,10023.15,9947.35,9978.0,1622393908.0,33761.81
13-JAN-2020,10012.8,10046.45,10006.25,10042.5,1297634196.0,30167.4
